seed,latent_dim,epochs,learning_rate,batch_size,kl_weight,final_loss
2025,1024,80,0.0001,128,0.1,0.007305982
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0070320144295692
1024,1024,80,0.0001,128,0.1,0.0092025231570005
1024,1024,80,0.0001,128,0.1,0.009202523157000542
