seed,latent_dim,epochs,learning_rate,batch_size,kl_weight,final_loss
1,32,150,0.0001,128,1.0,0.26296544
13,32,150,0.0001,128,1.0,0.2438750863075256
42,32,150,0.0001,128,1.0,0.2604840397834778
1024,32,150,0.0001,128,1.0,0.3067161440849304
2025,32,150,0.0001,128,1.0,0.2584655880928039
3999,32,150,0.0001,128,1.0,0.2654728889465332
4991,32,150,0.0001,128,1.0,0.2861329615116119
1,64,150,0.0001,128,1.0,0.2287485301494598
13,64,150,0.0001,128,1.0,0.201789990067482
42,64,150,0.0001,128,1.0,0.2275998294353485
1024,64,150,0.0001,128,1.0,0.2313933074474334
2025,64,150,0.0001,128,1.0,0.2302621752023697
3999,64,150,0.0001,128,1.0,0.23555289208889
4991,64,150,0.0001,128,1.0,0.2266076803207397
1,128,150,0.0001,128,1.0,0.1995858252048492
13,128,150,0.0001,128,1.0,0.1928318738937378
42,128,150,0.0001,128,1.0,0.1855504363775253
1024,128,150,0.0001,128,1.0,0.1887917816638946
2025,128,150,0.0001,128,1.0,0.2057197391986847
3999,128,150,0.0001,128,1.0,0.2139172852039337
4991,128,150,0.0001,128,1.0,0.190073937177658
1,256,150,0.0001,128,1.0,0.1709529608488083
13,256,150,0.0001,128,1.0,0.1740817427635193
42,256,150,0.0001,128,1.0,0.1758748888969421
1024,256,150,0.0001,128,1.0,0.1706757247447967
2025,256,150,0.0001,128,1.0,0.1668938398361206
3999,256,150,0.0001,128,1.0,0.1628650575876236
4991,256,150,0.0001,128,1.0,0.1618947088718414
1,128,150,2e-05,128,1.0,0.8066153526306152
13,128,150,2e-05,128,1.0,0.8020344972610474
42,128,150,2e-05,128,1.0,0.7995370030403137
1024,128,150,2e-05,128,1.0,0.816148042678833
2025,128,150,2e-05,128,1.0,0.8121473789215088
3999,128,150,2e-05,128,1.0,0.8094354271888733
4991,128,150,2e-05,128,1.0,0.8111941814422607
1,128,150,0.005,128,1.0,
1,128,150,5e-05,128,1.0,0.2755192220211029
13,128,150,5e-05,128,1.0,0.2688113451004028
42,128,150,5e-05,128,1.0,0.2717734277248382
1024,128,150,5e-05,128,1.0,0.2956817150115967
2025,128,150,5e-05,128,1.0,0.3219229280948639
3999,128,150,5e-05,128,1.0,0.3398561179637909
4991,128,150,5e-05,128,1.0,0.2733994722366333
1,128,150,0.0005,128,1.0,0.1994764506816864
13,128,150,0.0005,128,1.0,0.1750688403844833
42,128,150,0.0005,128,1.0,0.1789990365505218
1024,128,150,0.0005,128,1.0,0.1852144598960876
2025,128,150,0.0005,128,1.0,0.1823252141475677
3999,128,150,0.0005,128,1.0,0.1725917905569076
4991,128,150,0.0005,128,1.0,0.1779415011405944
1,256,200,5e-05,128,1.0,0.1795207113027572
13,256,200,5e-05,128,1.0,0.1810851395130157
42,256,200,5e-05,128,1.0,0.17271488904953
1024,256,200,5e-05,128,1.0,0.182891845703125
2025,256,200,5e-05,128,1.0,0.1780550181865692
3999,256,200,5e-05,128,1.0,0.1938865482807159
4991,256,200,5e-05,128,1.0,0.1830514371395111
1,512,200,0.0001,128,1.0,0.1423889994621276
13,512,200,0.0001,128,1.0,0.1397303193807602
42,512,200,0.0001,128,1.0,0.1463771909475326
1024,512,200,0.0001,128,1.0,0.1484878659248352
2025,512,200,0.0001,128,1.0,0.1426899880170822
3999,512,200,0.0001,128,1.0,0.1528722941875457
4991,512,200,0.0001,128,1.0,0.1555163711309433
42,512,150,0.0001,128,1.0,0.1539336740970611
42,512,150,0.0001,128,1.0,0.1539336740970611
42,512,150,0.0001,128,1.0,0.1539336740970611
42,512,150,0.0001,128,1.0,0.1539336740970611
42,512,150,0.0001,128,1.0,0.1539336740970611
42,512,150,0.0001,128,1.0,0.1539336740970611
42,512,150,0.0001,128,1.0,0.1539336740970611
2025,512,150,0.0001,128,1.0,0.1485366225242614
1024,512,150,0.0001,128,1.0,0.1502055823802948
1024,512,150,0.0001,128,1.0,0.1502055823802948
1024,512,150,0.0001,128,1.0,0.1502055823802948
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
1024,512,150,0.0001,128,1.0,0.155751958489418
